schema_id	data_value	abbr_text	full_text
400112	SE:120	1200	SEAT:1200
400112	SE:124	124	SEAT:124
400112	SE:127	127	SEAT:127
400112	SE:133	133	SEAT:133
400112	SE:143	1430	SEAT:1430
400112	SE:150	1500	SEAT:1500
400112	SE:AEA	ATECA	SEAT:ATECA
400112	SE:ALH	ALHAMBRA	SEAT:ALHAMBRA
400112	SE:ALT	ALTEA	SEAT:ALTEA
400112	SE:ARO	AROSA	SEAT:AROSA
400112	SE:AXL	ALTEA XL	SEAT:ALTEA XL
400112	SE:BAR	BARCELONA	SEAT:BARCELONA
400112	SE:COR	CORDOBA	SEAT:CORDOBA
400112	SE:EME	EMELBA	SEAT:EMELBA
400112	SE:EXO	EXEO	SEAT:EXEO
400112	SE:FUR	FURA	SEAT:FURA
400112	SE:GRE	GREDOS	SEAT:GREDOS
400112	SE:IBI	IBIZA	SEAT:IBIZA
400112	SE:INC	INCA	SEAT:INCA
400112	SE:LEO	LEON	SEAT:LEON
400112	SE:LTE	ALTEA FREETRACK	SEAT:ALTEA FREETRACK
400112	SE:MAL	MALAGA	SEAT:MALAGA
400112	SE:MAR	MARBELLA	SEAT:MARBELLA
400112	SE:PAN	PANDA	SEAT:PANDA
400112	SE:RNA	ARONA	SEAT:ARONA
400112	SE:RON	RONDA	SEAT:RONDA
400112	SE:SMI	MII	SEAT:MII
400112	SE:TA8	TARRACO	SEAT:TARRACO
400112	SE:TER	TERRA	SEAT:TERRA
400112	SE:TOL	TOLEDO	SEAT:TOLEDO
400112	VW:120	1200	VOLKSWAGEN:1200
400112	VW:130	1300	VOLKSWAGEN:1300
400112	VW:160	1600	VOLKSWAGEN:1600
400112	VW:AAS	ATLAS	VOLKSWAGEN:ATLAS
400112	VW:ACS	ATLAS CROSS SPORT	VOLKSWAGEN:ATLAS CROSS SPORT
400112	VW:ADD	CADDY III	VOLKSWAGEN:CADDY III
400112	VW:AMA	AMAZON	VOLKSWAGEN:AMAZON
400112	VW:AMO	AMEO	VOLKSWAGEN:AMEO
400112	VW:ANT	SANTANA 2000	VOLKSWAGEN:SANTANA 2000
400112	VW:APO	APOLLO	VOLKSWAGEN:APOLLO
400112	VW:ARK	AMAROK	VOLKSWAGEN:AMAROK
400112	VW:ASS	PASSAT CC	VOLKSWAGEN:PASSAT CC
400112	VW:ATL	ATLANTIC	VOLKSWAGEN:ATLANTIC
400112	VW:BEE	BEETLE	VOLKSWAGEN:BEETLE
400112	VW:BOR	BORA	VOLKSWAGEN:BORA
400112	VW:BRA	BRASILIA	VOLKSWAGEN:BRASILIA
400112	VW:BUS	BUS	VOLKSWAGEN:BUS
400112	VW:CAB	CABRIO	VOLKSWAGEN:CABRIO
400112	VW:CAC	CALIFORNIA COACH 	VOLKSWAGEN:CALIFORNIA COACH 
400112	VW:CAD	CADDY	VOLKSWAGEN:CADDY
400112	VW:CAL	CALIFORNIA	VOLKSWAGEN:CALIFORNIA
400112	VW:CAM	CAMPER	VOLKSWAGEN:CAMPER
400112	VW:CAR	CARAT	VOLKSWAGEN:CARAT
400112	VW:CAV	CARAVELLE	VOLKSWAGEN:CARAVELLE
400112	VW:CC1	CC	VOLKSWAGEN:CC
400112	VW:CDL	CADDY LIFE 	VOLKSWAGEN:CADDY LIFE 
400112	VW:CIT	CITIGOLF	VOLKSWAGEN:CITIGOLF
400112	VW:COA	COACH	VOLKSWAGEN:COACH
400112	VW:COM	COMBI	VOLKSWAGEN:COMBI
400112	VW:CON	CONSTELLATION	VOLKSWAGEN:CONSTELLATION
400112	VW:COR	CORRADO	VOLKSWAGEN:CORRADO
400112	VW:CRA	CRAFTER	VOLKSWAGEN:CRAFTER
400112	VW:CRB	CARIBE	VOLKSWAGEN:CARIBE
400112	VW:CRO	CROSSFOX	VOLKSWAGEN:CROSSFOX
400112	VW:CRS	CORSAR	VOLKSWAGEN:CORSAR
400112	VW:CTK	C-TREK	VOLKSWAGEN:C-TREK
400112	VW:DAS	DASHER	VOLKSWAGEN:DASHER
400112	VW:DE7	DELIVERY	VOLKSWAGEN:DELIVERY
400112	VW:DER	DERBY	VOLKSWAGEN:DERBY
400112	VW:EOS	EOS	VOLKSWAGEN:EOS
400112	VW:ESC	ESCARABAJO	VOLKSWAGEN:ESCARABAJO
400112	VW:EUR	EUROVAN	VOLKSWAGEN:EUROVAN
400112	VW:FOX	FOX	VOLKSWAGEN:FOX
400112	VW:FUS	FUSCA	VOLKSWAGEN:FUSCA
400112	VW:GAC	GACEL	VOLKSWAGEN:GACEL
400112	VW:GFC	GOLF CITY	VOLKSWAGEN:GOLF CITY
400112	VW:GLA	GRAN LAVIDA	VOLKSWAGEN:GRAN LAVIDA
400112	VW:GLI	GLI	VOLKSWAGEN:GLI
400112	VW:GO4	GOLF IV	VOLKSWAGEN:GOLF IV
400112	VW:GOC	GOLF COUPE	VOLKSWAGEN:GOLF COUPE
400112	VW:GOF	GOLF	VOLKSWAGEN:GOLF
400112	VW:GOL	GOL	VOLKSWAGEN:GOL
400112	VW:GOM	GOLF MINI MPV	VOLKSWAGEN:GOLF MINI MPV
400112	VW:GRC	GRAND CALIFORNIA	VOLKSWAGEN:GRAND CALIFORNIA
400112	VW:GRS	GRAN SANTANA	VOLKSWAGEN:GRAN SANTANA
400112	VW:GSV	GOLF SPORTSVAN	VOLKSWAGEN:GOLF SPORTSVAN
400112	VW:GTI	GTI	VOLKSWAGEN:GTI
400112	VW:ID3	ID.3	VOLKSWAGEN:ID.3
400112	VW:ID4	ID.4	VOLKSWAGEN:ID.4
400112	VW:ILT	ILTIS	VOLKSWAGEN:ILTIS
400112	VW:ITY	CITY GOLF	VOLKSWAGEN:CITY GOLF
400112	VW:JET	JETTA	VOLKSWAGEN:JETTA
400112	VW:KAR	KARMANN	VOLKSWAGEN:KARMANN
400112	VW:KOM	KOMBI	VOLKSWAGEN:KOMBI
400112	VW:LMD	LAMANDO	VOLKSWAGEN:LAMANDO
400112	VW:LOG	LOGUS	VOLKSWAGEN:LOGUS
400112	VW:LT1	LT	VOLKSWAGEN:LT
400112	VW:LTP	LT PROFI	VOLKSWAGEN:LT PROFI
400112	VW:LUP	LUPO	VOLKSWAGEN:LUPO
400112	VW:LVA	LAVIDA	VOLKSWAGEN:LAVIDA
400112	VW:MAG	MAGOTAN	VOLKSWAGEN:MAGOTAN
400112	VW:MAR	MARRAKESH	VOLKSWAGEN:MARRAKESH
400112	VW:MIC	MICROBUS	VOLKSWAGEN:MICROBUS
400112	VW:MU2	MULTIVAN II	VOLKSWAGEN:MULTIVAN II
400112	VW:MUL	MULTIVAN	VOLKSWAGEN:MULTIVAN
400112	VW:NBC	NEW BEETLE CONVERTIBLE 	VOLKSWAGEN:NEW BEETLE CONVERTIBLE 
400112	VW:NCA	NEW CADDY	VOLKSWAGEN:NEW CADDY
400112	VW:NEW	NEW BEETLE	VOLKSWAGEN:NEW BEETLE
400112	VW:NIV	NIVUS	VOLKSWAGEN:NIVUS
400112	VW:NTA	SANTANA VISTA	VOLKSWAGEN:SANTANA VISTA
400112	VW:OLF	GOLF PLUS	VOLKSWAGEN:GOLF PLUS
400112	VW:PAN	PANEL	VOLKSWAGEN:PANEL
400112	VW:PAR	PARATI	VOLKSWAGEN:PARATI
400112	VW:PAS	PASSAT	VOLKSWAGEN:PASSAT
400112	VW:PHA	PHAETON	VOLKSWAGEN:PHAETON
400112	VW:PHD	PHIDEON	VOLKSWAGEN:PHIDEON
400112	VW:PIC	PICKUP	VOLKSWAGEN:PICKUP
400112	VW:POI	POINTER	VOLKSWAGEN:POINTER
400112	VW:POL	POLO	VOLKSWAGEN:POLO
400112	VW:POP	POLO PLAYA	VOLKSWAGEN:POLO PLAYA
400112	VW:PVV	POLO VIVO	VOLKSWAGEN:POLO VIVO
